ts,current_bytes,peak_bytes
1781137809,3019919360,3037810688
1781137810,3019898880,3037810688
1781137811,3020091392,3037810688
1781137812,3054927872,3056930816
1781137813,3035893760,3056930816
1781137814,3025874944,3056930816
1781137815,3024109568,3056930816
1781137816,3023462400,3056930816
1781137817,3027222528,3056930816
1781137818,3023917056,3056930816
1781137819,3024887808,3056930816
1781137820,3025186816,3056930816
1781137821,3026399232,3056930816
1781137822,3046256640,3056930816
1781137823,3028086784,3056930816
1781137824,3028250624,3056930816
1781137825,3028131840,3056930816
1781137826,3027730432,3056930816
1781137827,3028254720,3056930816
1781137828,3028262912,3056930816
1781137829,3027697664,3056930816
# rerun launch 2026-06-11T05:24:15+00:00
1781155455,217894912,294141952
1781155456,217870336,294141952
1781155457,180408320,294141952
1781155458,180408320,294141952
1781155459,180408320,294141952
1781155460,180408320,294141952
1781155461,180334592,294141952
1781155462,194211840,294141952
1781155463,194211840,294141952
1781155464,194215936,294141952
1781155465,194211840,294141952
1781155466,194211840,294141952
1781155467,194183168,294141952
1781155468,194183168,294141952
1781155469,194183168,294141952
1781155470,194183168,294141952
1781155471,194158592,294141952
1781155472,180264960,294141952
1781155473,180264960,294141952
1781155474,180264960,294141952
1781155475,180260864,294141952
1781155476,180264960,294141952
1781155477,180236288,294141952
1781155478,180236288,294141952
1781155479,180236288,294141952
1781155480,180236288,294141952
1781155481,222126080,294141952
1781155482,207142912,294141952
1781155483,207142912,294141952
1781155484,207142912,294141952
1781155485,207142912,294141952
1781155486,207142912,294141952
1781155487,207142912,294141952
1781155488,207142912,294141952
1781155489,207142912,294141952
1781155490,207142912,294141952
1781155491,193044480,294141952
1781155492,192331776,294141952
1781155493,192331776,294141952
1781155494,192331776,294141952
1781155495,192331776,294141952
1781155496,192331776,294141952
1781155497,240336896,294141952
1781155498,1207398400,1209761792
1781155499,1622925312,1809375232
1781155500,2111815680,2120974336
1781155501,2500186112,2500517888
1781155502,2565537792,2566107136
1781155503,2565242880,2566107136
1781155504,2520145920,2566107136
1781155505,2362359808,2566107136
1781155506,2362400768,2566107136
1781155508,2362408960,2566107136
1781155509,2377097216,2566107136
1781155510,2384351232,2566107136
1781155511,2384060416,2566107136
1781155512,2383142912,2566107136
1781155513,2383290368,2566107136
1781155514,2383286272,2566107136
1781155515,2383052800,2566107136
1781155516,2382909440,2566107136
1781155517,2383089664,2566107136
1781155518,2380951552,2566107136
1781155519,2381123584,2566107136
1781155520,2380972032,2566107136
1781155521,2380976128,2566107136
1781155522,2380972032,2566107136
1781155523,2381053952,2566107136
1781155524,2381049856,2566107136
1781155525,2381168640,2566107136
1781155526,2381193216,2566107136
1781155527,2381275136,2566107136
1781155528,2411331584,2566107136
1781155529,2397859840,2566107136
1781155530,2397835264,2566107136
1781155531,2398437376,2566107136
1781155532,2398437376,2566107136
1781155533,2398466048,2566107136
1781155534,2433699840,2566107136
1781155535,2433507328,2566107136
1781155536,2433437696,2566107136
1781155537,2433683456,2566107136
1781155538,2433769472,2566107136
1781155539,2433769472,2566107136
1781155540,2433740800,2566107136
1781155541,2434416640,2566107136
1781155542,2399399936,2566107136
1781155543,2385567744,2566107136
1781155544,2386075648,2566107136
1781155545,2386100224,2566107136
1781155546,2385899520,2566107136
