ts,rss_kb
# launch 2026-06-10T23:28:52+00:00 fresh=0
1781136529,3226648
1781136534,3226648
1781136539,3226648
1781136544,3226648
1781136549,3226648
1781136554,3226648
1781136559,3226648
1781136564,3226648
1781136569,3226648
1781136574,3226648
1781136579,3226648
1781136584,3226648
1781136589,3226648
1781136594,3226648
1781136599,3226648
1781136604,3226648
1781136609,3226648
1781136614,3226648
1781136620,3226648
1781136625,3226648
1781136630,3226648
1781136635,3226648
1781136640,3226648
1781136645,3226648
1781136650,3226648
1781136655,3226648
1781136660,3226648
1781136665,3226648
1781136670,3226648
1781136675,3226648
1781136680,3226644
1781136685,3226648
1781136690,3226648
1781136695,3226648
1781136700,3226648
1781136705,3226648
1781136710,3226632
1781136715,3226632
1781136721,3226632
1781136726,3226632
1781136731,3226632
1781136736,3226636
1781136741,3226636
1781136746,3226636
1781136751,3226636
1781136756,3226636
1781136761,3226636
1781136766,3226556
1781136771,3226556
1781136776,3226608
1781136781,3226608
1781136786,3226608
1781136791,3226600
1781136796,3226608
1781136801,3226608
1781136806,3226604
1781136811,3226604
1781136816,3226600
1781136822,3226584
1781136827,3227468
1781136832,3227472
1781136837,3223720
1781136842,3227560
1781136847,3227560
1781136852,3227560
1781136857,3227556
1781136862,3227548
1781136867,3227584
1781136872,3227580
1781136877,3227580
1781136882,3227580
1781136887,3227580
1781136892,3227580
1781136897,3227580
1781136902,3227580
1781136907,3227540
1781136912,3227540
1781136917,3227540
# launch 2026-06-11T00:15:39+00:00 fresh=0
1781136939,32276
1781136944,241496
1781136949,241512
1781136954,241124
1781136960,241124
1781136965,241124
1781136970,241124
1781136975,241124
1781136980,241124
1781136985,1493388
1781136990,2800256
1781136995,2808108
1781137000,2808108
1781137005,2807088
1781137010,2807096
1781137015,2810840
1781137020,2810836
1781137025,2810832
1781137030,2810832
1781137035,2810832
1781137040,2810832
1781137045,2810928
1781137050,2810928
1781137055,2810928
1781137060,2810928
1781137065,2810928
1781137071,2810976
1781137076,2810976
1781137081,2810976
1781137086,2810980
1781137091,2829284
1781137096,2829644
1781137101,2829648
1781137106,2828788
1781137111,2828788
1781137116,2828788
1781137121,2828784
1781137126,2828812
1781137131,2828816
1781137136,2828816
1781137141,2828816
1781137146,2828816
1781137151,2828816
1781137156,2828820
1781137161,2828940
1781137166,2828940
1781137171,2828936
1781137177,2828936
1781137182,2828924
1781137187,2829152
1781137192,2829192
1781137197,2829192
1781137202,2829188
1781137207,2829184
1781137212,2829172
1781137217,2829188
1781137222,2829176
1781137227,2829176
1781137232,2829176
1781137237,2829176
1781137242,2849324
1781137247,2849304
1781137252,2848356
1781137257,2848352
1781137262,2848352
1781137267,2848352
1781137272,2848348
1781137277,2848348
1781137282,2848352
1781137287,2848348
1781137292,2848352
1781137298,2848352
1781137303,2848352
1781137308,2848352
1781137313,2848352
1781137318,2887304
1781137323,2887272
1781137328,2886476
1781137333,2886476
1781137338,2886464
1781137343,2886464
1781137348,2886464
1781137353,2886464
1781137358,2886464
1781137363,2890224
1781137368,2890192
1781137373,2889724
1781137378,2889428
1781137383,2889428
1781137388,2889428
1781137394,2889428
1781137399,2889428
1781137404,2889432
1781137409,2889396
1781137414,2889396
1781137419,2889380
1781137424,2889380
1781137429,2889380
1781137434,2889380
1781137439,2889412
1781137444,2889412
1781137449,2889412
1781137454,2889412
1781137459,2889412
1781137464,2889412
1781137469,2889368
1781137474,2889368
1781137479,2889368
1781137484,2889368
1781137489,2889368
1781137495,2889400
1781137500,2889400
1781137505,2889400
1781137510,2889400
1781137515,2889400
1781137520,2890124
1781137525,2890124
1781137530,2889388
1781137535,2889380
1781137540,2889372
1781137545,2889416
1781137550,2889416
1781137555,2889412
1781137560,2889416
1781137565,2889412
1781137570,2889416
1781137575,2889416
1781137580,2889412
1781137585,2889416
1781137590,2889412
1781137595,2889412
1781137600,2889416
1781137605,2889412
1781137611,2889416
1781137616,2889416
1781137621,2889416
1781137626,2889412
1781137631,2889416
1781137636,2889416
1781137641,2889416
1781137646,2889484
1781137651,2889488
1781137656,2889488
1781137661,2889488
1781137666,2889488
1781137671,2889488
1781137676,2889488
1781137681,2889488
1781137686,2889488
1781137691,2889488
1781137696,2889488
1781137701,2889488
1781137706,2889488
1781137711,2889488
1781137716,2889488
1781137721,2889488
1781137727,2889488
1781137732,2889488
1781137737,2889488
1781137742,2893244
1781137747,2889480
1781137752,2889488
1781137757,2889488
1781137762,2889480
1781137767,2889488
1781137772,2889484
1781137777,2898768
1781137782,2904264
1781137787,2904264
1781137792,2903380
1781137797,2903384
1781137802,2903384
1781137807,2903384
1781137812,2903416
1781137817,2903636
1781137822,2903728
1781137827,2903764
1781137832,2903760
1781137838,2903756
1781137843,2903744
1781137848,2903744
1781137853,2903740
1781137858,2903744
1781137863,2903744
1781137868,2903744
1781137873,2903744
1781137878,2905740
1781137883,2911644
1781137888,2911648
1781137893,2910688
1781137898,2910688
1781137903,2910684
1781137908,2910684
1781137913,2910684
1781137918,2910684
1781137923,2910684
1781137928,2910684
1781137933,2910684
1781137938,2910684
1781137943,2905128
1781137948,2915284
1781137954,2915296
1781137959,2908100
1781137964,2908100
1781137969,2898300
1781137974,2898300
1781137979,2898300
1781137984,2898300
1781137989,2898300
1781137994,2898300
1781137999,2898300
1781138004,2898300
1781138009,2898300
1781138014,2898300
1781138019,2898300
1781138024,2898300
1781138029,2898300
1781138034,2898260
1781138039,2898256
1781138044,2898256
1781138049,2898256
1781138054,2898256
1781138059,2898256
1781138064,2898288
1781138069,2898288
1781138074,2898288
1781138079,2898288
1781138085,2898288
1781138090,2898288
1781138095,2898256
1781138100,2898256
1781138105,2898256
1781138110,2898256
1781138115,2898252
# launch 2026-06-11T00:35:35+00:00 fresh=1
1781138135,10628
1781138140,249152
1781138145,249220
1781138150,248940
1781138155,248940
1781138160,248940
1781138165,248940
1781138170,248940
1781138175,248940
1781138180,248800
1781138185,257988
1781138190,258108
1781138195,258100
1781138200,257300
1781138205,257300
1781138211,257252
1781138216,261248
1781138221,261200
1781138226,261196
1781138231,261196
1781138236,261196
1781138241,261196
1781138246,261196
1781138251,263572
1781138256,264300
1781138261,3198344
1781138266,3203264
1781138271,3253300
1781138276,3253224
1781138281,3252564
1781138286,3252244
1781138291,3252228
1781138296,3252232
1781138301,3252232
1781138307,3252188
1781138312,3252188
1781138317,3252188
1781138322,3252188
1781138327,3252188
# launch 2026-06-11T05:23:17+00:00 fresh=0
1781155397,5024
1781155402,240224
1781155407,240240
1781155412,239956
1781155417,239956
1781155422,239956
1781155427,239956
# launch 2026-06-11T05:24:04+00:00 fresh=0
1781155444,10688
1781155449,240328
1781155454,240344
1781155460,240152
1781155465,240152
1781155470,240152
1781155475,240152
1781155480,240152
1781155485,239868
1781155490,239868
1781155495,239868
1781155500,1163392
1781155505,2031072
1781155510,2090800
1781155515,2090328
1781155520,2090600
1781155525,2090676
1781155530,2095736
1781155535,2130068
1781155540,2130272
1781155545,2096176
1781155551,2096168
1781155556,2096252
1781155561,2096420
1781155566,2096408
1781155571,2120284
1781155576,2096640
1781155581,2096628
1781155586,2096764
1781155591,2096888
1781155596,2096792
1781155601,2096980
1781155606,2097104
1781155611,2131480
1781155616,2131496
1781155621,2131508
1781155626,2097308
1781155632,2097404
1781155637,2097348
1781155642,2129888
1781155647,2097596
1781155652,2097572
1781155657,2097720
1781155662,2097796
1781155667,2097740
1781155672,2097880
1781155677,2097976
1781155682,2097996
1781155687,2102076
1781155692,2098216
1781155697,2098116
1781155702,2136432
1781155707,2136432
1781155712,2135560
1781155717,2135560
1781155723,2135560
1781155728,2135560
1781155733,2135492
1781155738,2135576
1781155743,2135576
1781155748,2135592
1781155753,2135588
1781155758,2135588
1781155763,2135588
1781155768,2135588
1781155773,2135588
1781155778,2136384
1781155783,2136384
1781155788,2135660
1781155793,2135724
1781155798,2135724
1781155803,2135724
1781155808,2135724
1781155813,2135740
1781155818,2144292
1781155823,2118108
1781155829,2117248
1781155834,2117248
1781155839,2117372
1781155844,2117364
1781155849,2117364
1781155854,2117364
1781155859,2119100
1781155864,2119100
1781155869,2118376
1781155874,2118376
1781155879,2118376
1781155884,2118376
1781155889,2118376
1781155894,2118376
1781155899,2118376
1781155904,2118376
1781155909,2118380
1781155914,2118380
1781155919,2118384
1781155924,2118384
1781155929,2118384
1781155934,2118372
1781155939,2118372
1781155945,2118372
1781155950,2118292
1781155955,2118292
1781155960,2118292
1781155965,2118292
1781155970,2118292
1781155975,2118292
1781155980,2118328
1781155985,2118328
1781155990,2118328
1781155995,2118328
1781156000,2118328
1781156005,2118328
1781156010,2118288
1781156015,2118732
1781156020,2118736
1781156025,2118736
1781156030,2118736
1781156035,2118736
1781156040,2118736
1781156045,2118736
1781156050,2118736
1781156055,2118736
1781156060,2118736
1781156066,2118736
1781156071,2118736
1781156076,2118736
1781156081,2118736
1781156086,2118736
1781156091,2118736
1781156096,2118736
1781156101,2118736
1781156106,2118736
1781156111,2118688
1781156116,2118736
1781156121,2118736
1781156126,2118736
1781156131,2118736
1781156136,2118736
1781156141,2118736
1781156146,2118688
1781156151,2123876
1781156156,2123852
1781156161,2123852
1781156166,2123148
1781156172,2123148
1781156177,2123148
1781156182,2123148
1781156187,2123148
1781156192,2123144
1781156197,2123152
1781156202,2123152
1781156207,2123144
1781156212,2123144
1781156217,2123144
1781156222,2123148
1781156227,2123152
1781156232,2123152
1781156237,2123148
1781156242,2123180
1781156247,2123180
1781156252,2123180
1781156257,2123168
1781156262,2123180
1781156267,2123172
1781156272,2123168
1781156277,2123316
1781156282,2123368
1781156288,2123360
1781156293,2123360
1781156298,2123368
1781156303,2123368
1781156308,2123528
1781156313,2123596
1781156318,2123592
1781156323,2123588
1781156328,2123592
1781156333,2123592
1781156338,2123592
1781156343,2123592
1781156348,2123592
1781156353,2123592
1781156358,2123596
1781156363,2123732
1781156368,2123712
1781156373,2123720
1781156378,2123720
1781156383,2123720
1781156388,2123720
1781156393,2123720
1781156398,2123720
1781156404,2127760
1781156409,2127752
1781156414,2126928
1781156419,2126928
1781156424,2126928
1781156429,2126932
1781156434,2126932
1781156439,2126932
1781156444,2126932
1781156449,2126932
1781156454,2126932
1781156459,2126932
1781156464,2126928
1781156469,2126936
1781156474,2126936
1781156479,2126936
1781156484,2126936
1781156489,2131804
1781156494,2131804
1781156499,2131060
1781156504,2131060
1781156509,2131060
1781156514,2131060
1781156519,2131060
1781156524,2131048
1781156530,2131048
1781156535,2131048
1781156540,2131048
1781156545,2131048
1781156550,2131048
1781156555,2131048
1781156560,2131048
1781156565,2131048
1781156570,2131048
1781156575,2131048
1781156580,2131008
1781156585,2130992
1781156590,2130992
1781156595,2130992
1781156600,2130992
1781156605,2131024
1781156610,2131024
1781156615,2131028
1781156620,2131024
1781156625,2131024
1781156631,2131024
1781156636,2131024
1781156641,2130992
1781156646,2130992
1781156651,2130992
1781156656,2130992
1781156661,2130992
1781156666,2131024
1781156671,2131024
1781156676,2131032
1781156681,2131036
1781156686,2131036
1781156691,2131036
1781156696,2131036
1781156701,2134064
1781156706,2134064
1781156711,2133368
1781156716,2133360
1781156721,2133352
1781156726,2133364
1781156731,2133584
1781156737,2133728
1781156742,2133772
1781156747,2133748
1781156752,2133744
1781156757,2133732
1781156762,2133736
1781156767,2133736
1781156772,2133744
1781156777,2133732
1781156782,2133732
1781156787,2133724
1781156792,2133720
1781156797,2133720
1781156802,2133720
1781156807,2133724
1781156812,2133728
1781156817,2133720
1781156822,2133720
1781156827,2133724
1781156832,2137284
1781156837,2137308
1781156842,2137152
1781156848,2136436
1781156853,2136432
1781156858,2136432
1781156863,2136432
1781156868,2136436
1781156873,2136436
1781156878,2136436
1781156883,2136436
1781156888,2136436
1781156893,2136444
1781156898,2136432
1781156903,2136440
1781156908,2136440
1781156913,2136444
1781156918,2136444
1781156923,2136440
1781156928,2136444
1781156933,2136444
1781156938,2136440
1781156943,2136440
1781156948,2136444
1781156953,2136440
1781156959,2136444
1781156964,2136444
1781156969,2136444
1781156974,2136432
1781156979,2136432
1781156984,2136444
1781156989,2136432
1781156994,2136432
1781156999,2136432
1781157004,2136432
1781157009,2136432
1781157014,2136428
1781157019,2136432
1781157024,2136564
1781157029,2136436
1781157034,2136436
1781157039,2136436
1781157044,2136436
1781157049,2136448
1781157054,2136436
1781157059,2136436
1781157065,2138348
1781157070,2138336
1781157075,2137600
1781157080,2137592
1781157085,2137592
1781157090,2137580
1781157095,2137584
1781157100,2137580
1781157105,2137576
1781157110,2137580
1781157115,2137580
1781157120,2137580
1781157125,2137580
1781157130,2137580
1781157135,2137580
1781157140,2137580
1781157145,2137580
1781157150,2137580
1781157155,2137584
1781157160,2137584
1781157165,2137584
1781157171,2137584
1781157176,2137584
1781157181,2137584
1781157186,2137584
1781157191,2137584
1781157196,2137584
1781157201,2137584
1781157206,2137584
1781157211,2137584
1781157216,2137588
1781157221,2137588
1781157226,2137588
1781157231,2137584
1781157236,2137584
1781157241,2137584
1781157246,2137584
1781157251,2137584
1781157256,2137588
1781157261,2137588
1781157266,2137588
1781157271,2137584
1781157277,2137584
1781157282,2137588
1781157287,2137584
1781157292,2137584
1781157297,2137584
1781157302,2137584
1781157307,2137584
1781157312,2137596
1781157317,2137600
1781157322,2137600
1781157327,2137600
1781157332,2137592
# launch 2026-06-11T17:22:24+00:00 fresh=0
1781198544,5872
1781198549,240320
1781198554,240336
1781198559,240056
1781198564,240056
# launch 2026-06-11T17:23:03+00:00 fresh=0
1781198583,8936
1781198588,241012
1781198593,241028
